Date,Open,High,Low,Close,Volume
22/11/2017,63.354,63.484001,62.368,62.52,24588000
24/11/2017,62.757999,63.282001,62.200001,63.110001,16220500
27/11/2017,62.650002,63.467999,61.902,63.362,22779500
28/11/2017,63.271999,64,62.784,63.509998,24747500
29/11/2017,63.459999,63.599998,60.245998,61.507999,43837000
30/11/2017,61.712002,62.139999,60.908001,61.77,21758000
01/12/2017,61.088001,62.063999,61.009998,61.306,21464500
04/12/2017,61.299999,61.653999,60.122002,61.040001,29175500
05/12/2017,60.400002,61.599998,60.200001,60.740002,23232500
06/12/2017,60.02,62.678001,60,62.652,35976500
07/12/2017,62.400002,63.726002,62.209999,62.248001,23903000
08/12/2017,62.919998,63.396,62.251999,63.026001,17342500
11/12/2017,62.925999,65.802002,62.75,65.781998,39690000
12/12/2017,66.089996,68.288002,66.005997,68.206001,43666000
13/12/2017,68.185997,68.844002,67.300003,67.806,31107500
14/12/2017,68.202003,69.487999,67.379997,67.578003,28999500
15/12/2017,68.407997,68.779999,67.152,68.690002,34666000
18/12/2017,68.980003,69.346001,67.515999,67.774002,27381000
19/12/2017,68.052002,68.297997,66.059998,66.220001,34125000
20/12/2017,66.538002,66.620003,65.008003,65.795998,29769000
21/12/2017,65.917999,66.748001,65.442001,66.332001,21926000
22/12/2017,65.902,66.183998,64.963997,65.040001,21079000
26/12/2017,64.765999,64.788002,63.316002,63.458,21892000
27/12/2017,63.200001,63.535999,62.150002,62.327999,23560500
28/12/2017,62.349998,63.164001,61.908001,63.071999,21581500
29/12/2017,63.236,63.282001,62,62.27,18886000
02/01/2018,62.400002,64.421997,62.200001,64.106003,21761000
03/01/2018,64.199997,65.050003,63.110001,63.450001,22607500
04/01/2018,62.574001,63.709999,61.136002,62.924,49731500
05/01/2018,63.324001,63.448002,62.400002,63.316002,22956000
08/01/2018,63.200001,67.403999,63.099998,67.281998,49297000
09/01/2018,67.031998,67.760002,65.480003,66.737999,35733000
10/01/2018,66.440002,67.400002,66,66.959999,21549500
11/01/2018,67.047997,68.961998,66.652,67.589996,33227500
12/01/2018,67.725998,68.082001,66.734001,67.244003,24125500
16/01/2018,67.508003,69,66.959999,68.012001,32371500
17/01/2018,68.094002,69.800003,67.949997,69.431999,35517500
18/01/2018,69.134003,70.459999,68.748001,68.914001,28429000
19/01/2018,69,70.117996,68.519997,70.003998,24441500
22/01/2018,69.879997,71.566002,69.839996,70.311996,31052000
23/01/2018,72,72.099998,70.199997,70.557999,27327000
24/01/2018,70.916,70.949997,68.704002,69.178001,26437500
25/01/2018,69.653999,69.839996,67.279999,67.528,33701500
26/01/2018,68.300003,68.800003,67.141998,68.57,22697000
29/01/2018,67.970001,70.169998,67.655998,69.905998,23735500
30/01/2018,69.028,69.653999,68.433998,69.164001,23588500
31/01/2018,69.501999,71.237999,69.038002,70.862,31070500
01/02/2018,70.199997,71.931999,69.725998,69.849998,20988500
02/02/2018,69.688004,70.389999,68.101997,68.75,18524000
05/02/2018,67.594002,68.893997,66.599998,66.625999,22320500
06/02/2018,65.042,67.244003,64.699997,66.793999,25442000
07/02/2018,67.797997,69.199997,67.132004,69,34846000
08/02/2018,68.662003,69.723999,62.919998,63.046001,51573000
09/02/2018,63.986,64.195999,58.952,62.084,64668500
12/02/2018,63.226002,63.616001,61.25,63.146,31139000
13/02/2018,63.004002,64.837997,62.501999,64.732002,22801000
14/02/2018,64.167999,65.234001,63.703999,64.461998,19753500
15/02/2018,64.900002,66.823997,64.480003,66.814003,29564500
16/02/2018,66.5,68.624001,66.328003,67.098,28213000
20/02/2018,66.893997,68.167999,66.300003,66.954002,20047000
21/02/2018,67.206001,67.938004,66.634003,66.660004,16098000
22/02/2018,67.106003,69.487999,66.949997,69.234001,34849000
23/02/2018,69.566002,70.998001,69.419998,70.410004,29087000
26/02/2018,70.699997,71.800003,70.472,71.484001,21700000
27/02/2018,71.25,71.998001,70.001999,70.197998,23987000
28/02/2018,70.514,71.047997,68.444,68.612,30348500
